dataset,framework,std
german_credit,autogluon,0.010601886624558868
german_credit,autokeras,0.01767936650448763
german_credit,autopytorch,0.029599999999999994
german_credit,autosklearn,0.0150917195839308
german_credit,flaml,0.010650821564555487
german_credit,h2o,0.018115186998758796
german_credit,honcaml,0.019855477833585388
german_credit,lightautoml,0.011822013364905331
german_credit,tpot,0.009541488353501215
diabetes,autogluon,0.011582745788456217
diabetes,autokeras,0.016054905792311596
diabetes,autopytorch,0.049600000000000005
diabetes,autosklearn,0.0040000000000000036
diabetes,flaml,0.016092234151913166
diabetes,h2o,0.008138795979750328
diabetes,honcaml,0.012142487389328443
diabetes,lightautoml,0.0447007829909052
diabetes,tpot,0.010518555033843774
ada,autogluon,0.005192301994298872
ada,autokeras,0.00691664658631624
ada,autopytorch,0.1576913440871122
ada,autosklearn,0.0023151673805580472
ada,flaml,0.0022449944320643666
ada,h2o,0.0030331501776205863
ada,honcaml,0.0016733200530681528
ada,lightautoml,0.0014966629547095778
ada,tpot,0.0023151673805580472
ozone-level-8hr,autogluon,0.01839130229211622
ozone-level-8hr,autokeras,0.02513483638299643
ozone-level-8hr,autopytorch,0.05498581635294688
ozone-level-8hr,autosklearn,0.020441134997841958
ozone-level-8hr,flaml,0.009558242516278825
ozone-level-8hr,h2o,0.013646977687385597
ozone-level-8hr,honcaml,0.03081168609472714
ozone-level-8hr,lightautoml,0.0007483314773547883
ozone-level-8hr,tpot,0.01425482374496434
Australian,autogluon,0.0049558046773455515
Australian,autokeras,0.009516301802696263
Australian,autopytorch,0.06640000000000001
Australian,autosklearn,0.008704022058795585
Australian,flaml,0.008593020423576342
Australian,h2o,0.005059644256269411
Australian,honcaml,0.007025667228100124
Australian,lightautoml,0.0069108610172684045
Australian,tpot,0.00402988833592198
adult,autogluon,0.0012649110640673528
adult,autokeras,0.0017204650534085267
adult,autopytorch,0.04200000000000001
adult,autosklearn,0.0008000000000000007
adult,flaml,0.0034292856398964035
adult,h2o,0.001019803902718558
adult,honcaml,0.0036660605559646754
adult,lightautoml,0.0007999999999999562
adult,tpot,0.001356465996625055
