dataset,seed,benchmark_time,predict_time,f1_score,recall_score,precision_score,roc_auc_score,mean_absolute_percentage_error,mean_squared_error
ozone-level-8hr,16,600.043,0.003,0.65,0.627,0.704,0.627,,
ozone-level-8hr,30,600.017,0.003,0.659,0.629,0.738,0.629,,
ozone-level-8hr,42,600.106,0.004,0.642,0.614,0.698,0.614,,
ozone-level-8hr,65,600.002,0.004,0.67,0.64,0.738,0.64,,
ozone-level-8hr,87,600.336,0.006,0.65,0.62,0.73,0.62,,
adult,16,601.299,0.127,0.81,0.787,0.846,0.787,,
adult,30,599.643,0.034,0.807,0.784,0.841,0.784,,
adult,42,600.245,0.043,0.815,0.796,0.842,0.796,,
adult,65,600.312,0.038,0.813,0.795,0.838,0.795,,
adult,87,600.554,0.041,0.806,0.781,0.847,0.781,,
diamonds,16,606.535,0.215,,,,,0.065,307841.943
diamonds,30,601.075,0.102,,,,,0.064,305490.514
diamonds,42,604.38,0.115,,,,,0.066,310151.837
diamonds,65,606.171,0.196,,,,,0.065,309627.892
diamonds,87,604.267,0.196,,,,,0.066,304823.351
OnlineNewsPopularity,16,600.429,0.155,,,,,1.859,133373205.929
OnlineNewsPopularity,30,600.442,0.185,,,,,1.691,136307076.299
OnlineNewsPopularity,42,601.553,0.176,,,,,1.687,134681594.838
OnlineNewsPopularity,65,616.975,0.217,,,,,1.624,132876065.517
OnlineNewsPopularity,87,600.358,0.144,,,,,1.865,148306467.712
german_credit,16,599.993,0.016,0.664,0.658,0.687,0.658,,
german_credit,30,600.156,0.02,0.661,0.649,0.701,0.649,,
german_credit,42,600.001,0.011,0.685,0.679,0.698,0.679,,
german_credit,65,600.008,0.011,0.653,0.644,0.684,0.644,,
german_credit,87,599.927,0.01,0.669,0.66,0.698,0.66,,
Moneyball,16,599.967,0.009,,,,,0.025,496.657
Moneyball,30,600.171,0.008,,,,,0.025,517.024
Moneyball,42,600.125,0.008,,,,,0.025,497.745
Moneyball,65,600.011,0.008,,,,,0.025,503.508
Moneyball,87,600.238,0.008,,,,,0.025,506.138
sensory,16,600.003,0.002,,,,,0.039,0.508
sensory,30,600.148,0.004,,,,,0.039,0.531
sensory,42,600.017,0.002,,,,,0.038,0.492
sensory,65,600.024,0.007,,,,,0.038,0.511
sensory,87,599.997,0.007,,,,,0.039,0.531
abalone,16,600.661,0.098,,,,,0.15,4.618
abalone,30,600.438,0.036,,,,,0.151,4.604
abalone,42,600.205,0.035,,,,,0.151,4.66
abalone,65,600.399,0.067,,,,,0.151,4.722
abalone,87,600.256,0.047,,,,,0.151,4.71
house_sales,16,603.515,0.051,,,,,0.118,13716867782.965
house_sales,30,606.486,0.073,,,,,0.117,14015761236.964
house_sales,42,613.322,0.401,,,,,0.117,14273536604.441
house_sales,65,615.585,0.411,,,,,0.116,13988107895.308
house_sales,87,615.484,0.401,,,,,0.117,14299596402.815
diabetes,16,600.061,0.007,0.699,0.693,0.71,0.693,,
diabetes,30,600.014,0.007,0.732,0.727,0.744,0.727,,
diabetes,42,600.0,0.003,0.735,0.733,0.745,0.733,,
diabetes,65,600.034,0.003,0.698,0.695,0.705,0.695,,
diabetes,87,600.032,0.003,0.707,0.701,0.729,0.701,,
Australian,16,600.166,0.003,0.865,0.865,0.867,0.865,,
Australian,30,600.024,0.003,0.849,0.849,0.853,0.849,,
Australian,42,600.015,0.007,0.842,0.84,0.844,0.84,,
Australian,65,600.041,0.003,0.863,0.862,0.867,0.862,,
Australian,87,600.029,0.007,0.854,0.855,0.856,0.855,,
ada,16,600.15,0.005,0.807,0.792,0.829,0.792,,
ada,30,600.01,0.004,0.802,0.79,0.817,0.79,,
ada,42,600.006,0.003,0.807,0.792,0.831,0.792,,
ada,65,600.015,0.003,0.802,0.789,0.821,0.789,,
ada,87,600.049,0.004,0.804,0.794,0.82,0.794,,
